"n_missing","mean_mse"
1,0.0177623440118386
10,0.0212004160047914
11,0.0214701599148933
12,0.0217711392053618
13,0.0210628533569252
14,0.0213235866463414
15,0.0215541923919186
16,0.0216180632227454
17,0.0216803350449401
18,0.020890949211465
19,0.0209494173339101
2,0.0184156392085846
20,0.0213137863008501
3,0.0191283540700201
4,0.019695336340683
5,0.0193755687037119
6,0.0194449339501024
7,0.0199569067634767
8,0.0201379859946502
9,0.0206924506198752
